Import Execution took: 431418 ms
Query 1 Execution took: 430 ms
Query 2 Execution took: 946 ms
Query 3 Execution took: 837 ms
Query 4 Execution took: 2362 ms
Query 5 Execution took: 1922 ms
Query 6 Execution took: 2974 ms
Query 7 Execution took: 2051 ms
Query 8 Execution took: 1958 ms
Query 9 Execution took: 517 ms
Query 10 Execution took: 2312 ms
Query 11 Execution took: 120 ms
Query 12 Execution took: 841 ms
Query 13 Execution took: 2129 ms
Query 14 Execution took: 2250 ms
Query 15 Execution took: 13270 ms
Query 16 Execution took: 473 ms
Query 1 Execution took: 444 ms
Query 2 Execution took: 1326 ms
Query 3 Execution took: 919 ms
Query 4 Execution took: 1804 ms
Query 5 Execution took: 1693 ms
Query 6 Execution took: 4293 ms
Query 7 Execution took: 3123 ms
Query 8 Execution took: 1960 ms
Query 9 Execution took: 462 ms
Query 10 Execution took: 2807 ms
Query 11 Execution took: 42 ms
Query 12 Execution took: 709 ms
Query 13 Execution took: 2727 ms
Query 14 Execution took: 2004 ms
Query 15 Execution took: 11412 ms
Query 16 Execution took: 542 ms
Query 1 Execution took: 416 ms
Query 2 Execution took: 1407 ms
Query 3 Execution took: 1340 ms
Query 4 Execution took: 1934 ms
Query 5 Execution took: 1867 ms
Query 6 Execution took: 3689 ms
Query 7 Execution took: 4216 ms
Query 8 Execution took: 2883 ms
Query 9 Execution took: 333 ms
Query 10 Execution took: 2013 ms
Query 11 Execution took: 15 ms
Query 12 Execution took: 584 ms
Query 13 Execution took: 2288 ms
Query 14 Execution took: 2207 ms
Query 15 Execution took: 10512 ms
Query 16 Execution took: 645 ms
Query 1 Execution took: 322 ms
Query 2 Execution took: 1187 ms
Query 3 Execution took: 1096 ms
Query 4 Execution took: 1892 ms
Query 5 Execution took: 1669 ms
Query 6 Execution took: 5111 ms
Query 7 Execution took: 5658 ms
Query 8 Execution took: 3279 ms
Query 9 Execution took: 316 ms
Query 10 Execution took: 1969 ms
Query 11 Execution took: 17 ms
Query 12 Execution took: 532 ms
Query 13 Execution took: 2404 ms
Query 14 Execution took: 2511 ms
Query 15 Execution took: 10901 ms
Query 16 Execution took: 697 ms
Query 1 Execution took: 405 ms
Query 2 Execution took: 803 ms
Query 3 Execution took: 1104 ms
Query 4 Execution took: 1392 ms
Query 5 Execution took: 1398 ms
Query 6 Execution took: 7799 ms
Query 7 Execution took: 5271 ms
Query 8 Execution took: 3259 ms
Query 9 Execution took: 244 ms
Query 10 Execution took: 1807 ms
Query 11 Execution took: 6 ms
Query 12 Execution took: 640 ms
Query 13 Execution took: 2170 ms
Query 14 Execution took: 2748 ms
Query 15 Execution took: 12744 ms
Query 16 Execution took: 592 ms
Query 1 Execution took: 338 ms
Query 2 Execution took: 1191 ms
Query 3 Execution took: 1768 ms
Query 4 Execution took: 1153 ms
Query 5 Execution took: 1478 ms
Query 6 Execution took: 9801 ms
Query 7 Execution took: 4005 ms
Query 8 Execution took: 2503 ms
Query 9 Execution took: 232 ms
Query 10 Execution took: 2218 ms
Query 11 Execution took: 6 ms
Query 12 Execution took: 789 ms
Query 13 Execution took: 2183 ms
Query 14 Execution took: 2564 ms
Query 15 Execution took: 12674 ms
Query 16 Execution took: 729 ms
Query 1 Execution took: 267 ms
Query 2 Execution took: 1587 ms
Query 3 Execution took: 2998 ms
Query 4 Execution took: 692 ms
Query 5 Execution took: 1645 ms
Query 6 Execution took: 10939 ms
Query 7 Execution took: 3187 ms
Query 8 Execution took: 1899 ms
Query 9 Execution took: 169 ms
Query 10 Execution took: 2349 ms
Query 11 Execution took: 3 ms
Query 12 Execution took: 776 ms
Query 13 Execution took: 2772 ms
Query 14 Execution took: 3417 ms
Query 15 Execution took: 17988 ms
Query 16 Execution took: 770 ms
Query 1 Execution took: 311 ms
Query 2 Execution took: 1586 ms
Query 3 Execution took: 3737 ms
Query 4 Execution took: 792 ms
Query 5 Execution took: 2086 ms
Query 6 Execution took: 9396 ms
Query 7 Execution took: 2443 ms
Query 8 Execution took: 1131 ms
Query 9 Execution took: 123 ms
Query 10 Execution took: 2640 ms
Query 11 Execution took: 2 ms
Query 12 Execution took: 558 ms
Query 13 Execution took: 3768 ms
Query 14 Execution took: 4183 ms
Query 15 Execution took: 25473 ms
Query 16 Execution took: 943 ms
Query 1 Execution took: 345 ms
Query 2 Execution took: 1452 ms
Query 3 Execution took: 3964 ms
Query 4 Execution took: 603 ms
Query 5 Execution took: 2485 ms
Query 6 Execution took: 8510 ms
Query 7 Execution took: 1775 ms
Query 8 Execution took: 854 ms
Query 9 Execution took: 169 ms
Query 10 Execution took: 1997 ms
Query 11 Execution took: 2 ms
Query 12 Execution took: 565 ms
Query 13 Execution took: 4861 ms
Query 14 Execution took: 4080 ms
Query 15 Execution took: 24209 ms
Query 16 Execution took: 1020 ms
Query 1 Execution took: 296 ms
Query 2 Execution took: 1992 ms
Query 3 Execution took: 5526 ms
Query 4 Execution took: 789 ms
Query 5 Execution took: 2171 ms
Query 6 Execution took: 7494 ms
Query 7 Execution took: 1419 ms
Query 8 Execution took: 1368 ms
Query 9 Execution took: 118 ms
Query 10 Execution took: 1952 ms
Query 11 Execution took: 1 ms
Query 12 Execution took: 439 ms
Query 13 Execution took: 5330 ms
Query 14 Execution took: 3474 ms
Query 15 Execution took: 29880 ms
Query 16 Execution took: 1258 ms
