Import Execution took: 391942 ms
Query 1 Execution took: 649 ms
Query 2 Execution took: 929 ms
Query 3 Execution took: 1081 ms
Query 4 Execution took: 2527 ms
Query 5 Execution took: 2030 ms
Query 6 Execution took: 3030 ms
Query 7 Execution took: 2183 ms
Query 8 Execution took: 2033 ms
Query 9 Execution took: 548 ms
Query 10 Execution took: 3360 ms
Query 11 Execution took: 100 ms
Query 12 Execution took: 1038 ms
Query 13 Execution took: 2376 ms
Query 14 Execution took: 2693 ms
Query 15 Execution took: 13821 ms
Query 16 Execution took: 1045 ms
Query 1 Execution took: 497 ms
Query 2 Execution took: 550 ms
Query 3 Execution took: 1222 ms
Query 4 Execution took: 3077 ms
Query 5 Execution took: 2500 ms
Query 6 Execution took: 2494 ms
Query 7 Execution took: 2797 ms
Query 8 Execution took: 3300 ms
Query 9 Execution took: 383 ms
Query 10 Execution took: 4343 ms
Query 11 Execution took: 103 ms
Query 12 Execution took: 1033 ms
Query 13 Execution took: 2976 ms
Query 14 Execution took: 2698 ms
Query 15 Execution took: 16819 ms
Query 16 Execution took: 954 ms
Query 1 Execution took: 480 ms
Query 2 Execution took: 481 ms
Query 3 Execution took: 1050 ms
Query 4 Execution took: 4243 ms
Query 5 Execution took: 2487 ms
Query 6 Execution took: 3370 ms
Query 7 Execution took: 3885 ms
Query 8 Execution took: 3739 ms
Query 9 Execution took: 441 ms
Query 10 Execution took: 3584 ms
Query 11 Execution took: 70 ms
Query 12 Execution took: 1013 ms
Query 13 Execution took: 3053 ms
Query 14 Execution took: 2261 ms
Query 15 Execution took: 14559 ms
Query 16 Execution took: 1091 ms
Query 1 Execution took: 444 ms
Query 2 Execution took: 629 ms
Query 3 Execution took: 1475 ms
Query 4 Execution took: 5268 ms
Query 5 Execution took: 1864 ms
Query 6 Execution took: 4325 ms
Query 7 Execution took: 3680 ms
Query 8 Execution took: 3228 ms
Query 9 Execution took: 301 ms
Query 10 Execution took: 3812 ms
Query 11 Execution took: 61 ms
Query 12 Execution took: 1229 ms
Query 13 Execution took: 4135 ms
Query 14 Execution took: 2833 ms
Query 15 Execution took: 12205 ms
Query 16 Execution took: 961 ms
Query 1 Execution took: 357 ms
Query 2 Execution took: 817 ms
Query 3 Execution took: 2423 ms
Query 4 Execution took: 4948 ms
Query 5 Execution took: 2161 ms
Query 6 Execution took: 6323 ms
Query 7 Execution took: 4259 ms
Query 8 Execution took: 3514 ms
Query 9 Execution took: 208 ms
Query 10 Execution took: 5378 ms
Query 11 Execution took: 33 ms
Query 12 Execution took: 1497 ms
Query 13 Execution took: 5755 ms
Query 14 Execution took: 2352 ms
Query 15 Execution took: 10745 ms
Query 16 Execution took: 1238 ms
Query 1 Execution took: 508 ms
Query 2 Execution took: 962 ms
Query 3 Execution took: 3218 ms
Query 4 Execution took: 3194 ms
Query 5 Execution took: 1914 ms
Query 6 Execution took: 5213 ms
Query 7 Execution took: 4326 ms
Query 8 Execution took: 4552 ms
Query 9 Execution took: 285 ms
Query 10 Execution took: 4417 ms
Query 11 Execution took: 40 ms
Query 12 Execution took: 1010 ms
Query 13 Execution took: 6787 ms
Query 14 Execution took: 2370 ms
Query 15 Execution took: 15570 ms
Query 16 Execution took: 1258 ms
Query 1 Execution took: 371 ms
Query 2 Execution took: 595 ms
Query 3 Execution took: 1980 ms
Query 4 Execution took: 4564 ms
Query 5 Execution took: 1736 ms
Query 6 Execution took: 5803 ms
Query 7 Execution took: 5584 ms
Query 8 Execution took: 5850 ms
Query 9 Execution took: 292 ms
Query 10 Execution took: 5312 ms
Query 11 Execution took: 44 ms
Query 12 Execution took: 717 ms
Query 13 Execution took: 8164 ms
Query 14 Execution took: 2880 ms
Query 15 Execution took: 14076 ms
Query 16 Execution took: 1090 ms
Query 1 Execution took: 493 ms
Query 2 Execution took: 797 ms
Query 3 Execution took: 2645 ms
Query 4 Execution took: 3560 ms
Query 5 Execution took: 1769 ms
Query 6 Execution took: 6142 ms
Query 7 Execution took: 6783 ms
Query 8 Execution took: 3062 ms
Query 9 Execution took: 408 ms
Query 10 Execution took: 7173 ms
Query 11 Execution took: 22 ms
Query 12 Execution took: 817 ms
Query 13 Execution took: 9939 ms
Query 14 Execution took: 3472 ms
Query 15 Execution took: 10842 ms
Query 16 Execution took: 1001 ms
Query 1 Execution took: 517 ms
Query 2 Execution took: 400 ms
Query 3 Execution took: 2413 ms
Query 4 Execution took: 2528 ms
Query 5 Execution took: 1601 ms
Query 6 Execution took: 6152 ms
Query 7 Execution took: 4588 ms
Query 8 Execution took: 4464 ms
Query 9 Execution took: 445 ms
Query 10 Execution took: 7967 ms
Query 11 Execution took: 27 ms
Query 12 Execution took: 1126 ms
Query 13 Execution took: 11158 ms
Query 14 Execution took: 3116 ms
Query 15 Execution took: 16174 ms
Query 16 Execution took: 836 ms
Query 1 Execution took: 683 ms
Query 2 Execution took: 269 ms
Query 3 Execution took: 3629 ms
Query 4 Execution took: 2755 ms
Query 5 Execution took: 1625 ms
Query 6 Execution took: 5243 ms
Query 7 Execution took: 6432 ms
Query 8 Execution took: 4768 ms
Query 9 Execution took: 311 ms
Query 10 Execution took: 8574 ms
Query 11 Execution took: 35 ms
Query 12 Execution took: 1301 ms
Query 13 Execution took: 14988 ms
Query 14 Execution took: 3974 ms
Query 15 Execution took: 13850 ms
Query 16 Execution took: 953 ms

