Import Execution took: 399466 ms
Query 1 Execution took: 962 ms
Query 2 Execution took: 1165 ms
Query 3 Execution took: 1434 ms
Query 4 Execution took: 2897 ms
Query 5 Execution took: 2277 ms
Query 6 Execution took: 4559 ms
Query 7 Execution took: 2275 ms
Query 8 Execution took: 2420 ms
Query 9 Execution took: 758 ms
Query 10 Execution took: 4068 ms
Query 11 Execution took: 759 ms
Query 12 Execution took: 1217 ms
Query 13 Execution took: 2996 ms
Query 14 Execution took: 3505 ms
Query 15 Execution took: 16010 ms
Query 16 Execution took: 1005 ms
Query 1 Execution took: 1142 ms
Query 2 Execution took: 1505 ms
Query 3 Execution took: 1460 ms
Query 4 Execution took: 3965 ms
Query 5 Execution took: 2864 ms
Query 6 Execution took: 6095 ms
Query 7 Execution took: 3143 ms
Query 8 Execution took: 1773 ms
Query 9 Execution took: 1065 ms
Query 10 Execution took: 3452 ms
Query 11 Execution took: 774 ms
Query 12 Execution took: 1037 ms
Query 13 Execution took: 3915 ms
Query 14 Execution took: 4397 ms
Query 15 Execution took: 18426 ms
Query 16 Execution took: 1081 ms
Query 1 Execution took: 1581 ms
Query 2 Execution took: 1168 ms
Query 3 Execution took: 1901 ms
Query 4 Execution took: 3501 ms
Query 5 Execution took: 3506 ms
Query 6 Execution took: 5505 ms
Query 7 Execution took: 2632 ms
Query 8 Execution took: 950 ms
Query 9 Execution took: 815 ms
Query 10 Execution took: 3721 ms
Query 11 Execution took: 401 ms
Query 12 Execution took: 1077 ms
Query 13 Execution took: 5123 ms
Query 14 Execution took: 5309 ms
Query 15 Execution took: 21740 ms
Query 16 Execution took: 1248 ms
Query 1 Execution took: 1660 ms
Query 2 Execution took: 1439 ms
Query 3 Execution took: 1918 ms
Query 4 Execution took: 1952 ms
Query 5 Execution took: 4468 ms
Query 6 Execution took: 7426 ms
Query 7 Execution took: 3669 ms
Query 8 Execution took: 873 ms
Query 9 Execution took: 947 ms
Query 10 Execution took: 3909 ms
Query 11 Execution took: 425 ms
Query 12 Execution took: 779 ms
Query 13 Execution took: 5128 ms
Query 14 Execution took: 6345 ms
Query 15 Execution took: 31137 ms
Query 16 Execution took: 1411 ms
Query 1 Execution took: 2319 ms
Query 2 Execution took: 1985 ms
Query 3 Execution took: 1837 ms
Query 4 Execution took: 1914 ms
Query 5 Execution took: 3461 ms
Query 6 Execution took: 8914 ms
Query 7 Execution took: 4618 ms
Query 8 Execution took: 435 ms
Query 9 Execution took: 1149 ms
Query 10 Execution took: 3807 ms
Query 11 Execution took: 206 ms
Query 12 Execution took: 851 ms
Query 13 Execution took: 5786 ms
Query 14 Execution took: 8084 ms
Query 15 Execution took: 38682 ms
Query 16 Execution took: 1725 ms
Query 1 Execution took: 1957 ms
Query 2 Execution took: 1483 ms
Query 3 Execution took: 2002 ms
Query 4 Execution took: 2290 ms
Query 5 Execution took: 4313 ms
Query 6 Execution took: 7305 ms
Query 7 Execution took: 4475 ms
Query 8 Execution took: 638 ms
Query 9 Execution took: 1013 ms
Query 10 Execution took: 3035 ms
Query 11 Execution took: 262 ms
Query 12 Execution took: 961 ms
Query 13 Execution took: 5196 ms
Query 14 Execution took: 6915 ms
Query 15 Execution took: 29818 ms
Query 16 Execution took: 1568 ms
Query 1 Execution took: 2457 ms
Query 2 Execution took: 1962 ms
Query 3 Execution took: 1783 ms
Query 4 Execution took: 3508 ms
Query 5 Execution took: 4427 ms
Query 6 Execution took: 6923 ms
Query 7 Execution took: 6674 ms
Query 8 Execution took: 673 ms
Query 9 Execution took: 947 ms
Query 10 Execution took: 2264 ms
Query 11 Execution took: 221 ms
Query 12 Execution took: 1057 ms
Query 13 Execution took: 5534 ms
Query 14 Execution took: 6663 ms
Query 15 Execution took: 26962 ms
Query 16 Execution took: 1285 ms
Query 1 Execution took: 2603 ms
Query 2 Execution took: 1501 ms
Query 3 Execution took: 2698 ms
Query 4 Execution took: 2826 ms
Query 5 Execution took: 4320 ms
Query 6 Execution took: 8049 ms
Query 7 Execution took: 6197 ms
Query 8 Execution took: 335 ms
Query 9 Execution took: 1014 ms
Query 10 Execution took: 2446 ms
Query 11 Execution took: 68 ms
Query 12 Execution took: 1253 ms
Query 13 Execution took: 7579 ms
Query 14 Execution took: 6385 ms
Query 15 Execution took: 36438 ms
Query 16 Execution took: 1267 ms
Query 1 Execution took: 3271 ms
Query 2 Execution took: 1848 ms
Query 3 Execution took: 3943 ms
Query 4 Execution took: 2458 ms
Query 5 Execution took: 3231 ms
Query 6 Execution took: 11580 ms
Query 7 Execution took: 8237 ms
Query 8 Execution took: 207 ms
Query 9 Execution took: 1281 ms
Query 10 Execution took: 2771 ms
Query 11 Execution took: 56 ms
Query 12 Execution took: 1313 ms
Query 13 Execution took: 8696 ms
Query 14 Execution took: 5429 ms
Query 15 Execution took: 29119 ms
Query 16 Execution took: 1386 ms
Query 1 Execution took: 4213 ms
Query 2 Execution took: 2284 ms
Query 3 Execution took: 5973 ms
Query 4 Execution took: 3024 ms
Query 5 Execution took: 3287 ms
Query 6 Execution took: 12198 ms
Query 7 Execution took: 8585 ms
Query 8 Execution took: 209 ms
Query 9 Execution took: 1717 ms
Query 10 Execution took: 3740 ms
Query 11 Execution took: 55 ms
Query 12 Execution took: 1227 ms
Query 13 Execution took: 11937 ms
Query 14 Execution took: 6792 ms
Query 15 Execution took: 38846 ms
Query 16 Execution took: 1705 ms
